"property_id","price"
"d56159653f5d2abc5ed5acd7",881704335.480159
"45550aa81c0151f1fd9fd8fe",882888079.22
"735deef3382aa15930482f3e",766644801.130952
"0dd49fa8bb7be52b851c6dc9",856771007.083333
"7d3220a91e78f8bc2924d1cd",933734146.934286
"d3054072b2175deec2c1f8dc",462138382.682833
"b7574b06d593fca4eac59815",442702944.216167
"79e822115c5c1a4531366001",620928891.551083
"d3ed5316a463d38c1bd321d0",1022035123.04654
"2f1880c9b8f7ac2715e1236d",676338526.666667
"dcca1c7f109175760ff531c6",974820049.1825
"dfc4f3facf91bbd93ee0fa4d",733579033.619167
"30e134a6cbe61d7954d0f56b",378286094.0275
"385fee7bd9ad7722d45dd034",460620184.814083
"87199c236bf22903d1aafdd0",469611346.385417
"19e19ad0cd6b5e84d8aa970e",601868895.914286
"907f968e78d748fde69dd44f",571198179.166667
"be094e5db0f784e3aa013aae",472391974.284968
"7ab96f83915bc84f8c03c1bd",404680005.428333
"07f4aa9b9ff5b0b05d31e6c0",922156472.800214
"e9be8cd37abed8ab510ba1f5",976883179.268333
"5f6ad58df27b562db077b5ce",694518407.495905
"ee96d947484aaace40f9b77f",1043349642.1756
"15c4aef8401208054697b81e",1000452162.517
"22d6cb11333f2839b8112b89",1090082542.75
"288c09c33907dadbae495c11",1109283286.04833
"f71d2bca0c5fe2720a1544c4",717315691.980576
"451744cf3ce55a98db8a3562",677853391.191905
"fba9ae05a6a8a9e0c6268a9f",441997856.416667
"1338e58f7dcebf5a1ea59388",425425941.972
"a817e8da0ada143ac87277ee",416950642.321206
"46d8bb3e9a0ca584d3c7a317",495550401.861917
"b2506aa9463aebf01e1e00ca",470808397.296
"7ec025b9b6e6f33bf65af41b",458979340.178284
"2ff531e27672ecd2362eed55",870599409.611334
"9b3cf0d1b91b9c6a2a887647",645462836.428572
"7db5291ce4602d9b2b266872",398540140.399167
"65d5918e826c33bb950fc008",656093123.074113
"395c34e4b8f52cbdb0522459",837922131.691333
"855f4b67d2bd6d18fd03d8e7",679108054.583333
"9ff06409b37e5b5dece4604a",650012218.102695
"0508cd7bd2c77ebb6fea1e56",611813890.029083
"b45fff2e718e54772d46a3fd",594928782.8225
"cf4d2297b73dbc357d21e31b",637309639.505774
"0ada7044c5b29925abc90879",583174288.087778
"6305f02255274ab5fb6bd39c",748557979.352564
"d9a94194ae1350512beff3e6",761645540.092214
"e3896296cb80d50d9ad3f903",941408181.878
"6514f355887c64136edb5595",855629437.7475
"f03400cc18e12903b3ffbe5a",897449329.990584
"4e134600155a64783b3f8c3e",956131267.023333
"d63ebc63c82fbf66d8b6ffd3",764713863.583333
"1bd64811bd59706844230198",936300226.261404
"a83921284639eedd4a511cb6",785528390.404255
"a2f3f7a1cd573e2a33f52e2d",878395372.786677
"47344a66471fa51f61c64652",803653468.404255
"78fd849c9429091347d7e5c9",809028646.583333
"c3daf2abea55af99c9579319",745755459.081417
"52864916eb1984abca41ec66",985042770.265857
"c62494a9d7aede44f2f84023",1133852902.1725
"a2b576643f7a032371587e5e",1142173706.59722
"e53bc68f0e97ccead24f3e56",520350012.267465
"fd82c710aad91bc90af490fe",604125150.101757
"d436abc2ee37ba3dd561e940",946170350.601667
"216a598114a403676011cb51",650082725.416667
"ea230d5eccd2b687888173bb",973416609.313524
"18bd0dd7580f2a7cb19a90b9",391877755.129167
"b143c8ca6d334f6a73c3f2a0",361142992.843788
"ab388cb4fa511968783bafee",466505074.224
"6a4f08cd04d558a56af732d9",442803830.166667
"7216c895aa047c4f405c4941",750081673.163857
"a493488dcd906dc74cf8a604",866426294.102564
"7844b0b2bc65dced90a355c6",960279173
"c1976383069b6b82ab29d092",577220596.260801
"e5cfd99e2308b7b73581dbdc",451563691.839333
"c18c2ea88f4ac53970b53d2c",440646946.89881
"842c9f0e4edf1e5a672ce15e",710973337.167333
"7dd1e46dcbddc6bf5ef694de",542233379.197786
"6cc4f32b39180bd1ec7e117b",881601283.787849
"79e643789a85dc4ffad49a25",1064175352.55
"b3402a9173d289d6db78e09d",1009485591.54861
"a446507813234e358db8b573",569261477.275583
"c8ef57ddfb35061d1876f94e",746542380.952381
"360be0df2c003005e3db080e",901581314.166667
"9ab245a4c91877cb7a8661ce",962298351.094983
"a57a34c7486e7a40e8deb316",920602783.497476
"ceba7d0f56f6cb03538962fb",657214003.01794
